5,6.897590,15818.550071,32.790424,2397.077800,0.571236,0.550193
10,1.210937,2.632531,7.891058,21.811384,0.599566,0.551336
15,0.521739,0.612861,4.378766,12.833114,0.594977,0.548365
20,0.250000,0.148762,3.088606,8.358589,0.577800,0.552584
25,0.125000,0.022592,2.966065,6.676081,0.576960,0.553192
30,0.098039,0.014728,2.593991,6.665271,0.588754,0.549835
35,0.080000,0.004798,2.213097,5.751917,0.585403,0.550172
40,0.040816,0.007216,2.006770,5.175344,0.575250,0.553942
45,0.041237,0.005817,1.895803,5.091076,0.579469,0.554567
50,0.020833,0.005910,1.678489,4.454825,0.577023,0.555036
